[Header]
Application Name	LabSolutions
Version	5.98
Data File Name	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD5.lcd
Output Date	2022/07/25
Output Time	17:20:36

[File Information]
Type	Data File
Generated	2022/07/21 4:06:50
Generated by	System Administrator
Modified	2022/07/25 11:06:40
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	2022/07/21 4:07:13
Sample Type	1:Standard
Level	5
Sample Name	STD5
Sample ID	STD5
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	51
Injection Volume	20

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD5.lcd
Method File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719-r70 sugar 40 min std  buoh 80d 0.6(N8233).lcm
Batch File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	N8233 UV+RID
Instrument #	6
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	åüèoäÌA	åüèoäÌB
# of Channels	2	1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	4801
Start Time(min)	0.000
End Time(min)	40.000
Intensity Units	mV
Intensity Multiplier	0.001
Wavelength(nm)	210nm
R.Time (min)	Intensity
0.00000	7
0.00833	7
0.01667	0
0.02500	0
0.03333	-1
0.04167	-2
0.05000	-4
0.05833	-5
0.06667	-7
0.07500	-8
0.08333	-10
0.09167	-10
0.10000	-11
0.10833	-12
0.11667	-13
0.12500	-15
0.13333	-17
0.14167	-18
0.15000	-19
0.15833	-19
0.16667	-19
0.17500	-18
0.18333	-17
0.19167	-17
0.20000	-16
0.20833	-15
0.21667	-13
0.22500	-11
0.23333	-8
0.24167	-5
0.25000	-3
0.25833	-2
0.26667	-2
0.27500	-2
0.28333	-3
0.29167	-5
0.30000	-7
0.30833	-9
0.31667	-10
0.32500	-10
0.33333	-9
0.34167	-8
0.35000	-7
0.35833	-6
0.36667	-5
0.37500	-4
0.38333	-2
0.39167	-1
0.40000	1
0.40833	2
0.41667	2
0.42500	1
0.43333	-1
0.44167	-3
0.45000	-4
0.45833	-4
0.46667	-4
0.47500	-3
0.48333	-2
0.49167	-1
0.50000	-1
0.50833	-2
0.51667	-3
0.52500	-4
0.53333	-6
0.54167	-9
0.55000	-11
0.55833	-13
0.56667	-14
0.57500	-14
0.58333	-13
0.59167	-11
0.60000	-8
0.60833	-6
0.61667	-4
0.62500	-2
0.63333	-2
0.64167	-2
0.65000	-3
0.65833	-4
0.66667	-6
0.67500	-7
0.68333	-9
0.69167	-10
0.70000	-11
0.70833	-12
0.71667	-12
0.72500	-12
0.73333	-11
0.74167	-10
0.75000	-9
0.75833	-8
0.76667	-7
0.77500	-6
0.78333	-6
0.79167	-5
0.80000	-5
0.80833	-4
0.81667	-3
0.82500	-3
0.83333	-2
0.84167	-0
0.85000	0
0.85833	0
0.86667	-1
0.87500	-4
0.88333	-9
0.89167	-13
0.90000	-18
0.90833	-22
0.91667	-25
0.92500	-27
0.93333	-28
0.94167	-29
0.95000	-29
0.95833	-29
0.96667	-29
0.97500	-28
0.98333	-26
0.99167	-23
1.00000	-19
1.00833	-15
1.01667	-10
1.02500	-6
1.03333	-3
1.04167	-2
1.05000	-1
1.05833	-1
1.06667	-2
1.07500	-3
1.08333	-3
1.09167	-3
1.10000	-3
1.10833	-2
1.11667	-2
1.12500	-3
1.13333	-4
1.14167	-6
1.15000	-8
1.15833	-10
1.16667	-10
1.17500	-10
1.18333	-8
1.19167	-6
1.20000	-3
1.20833	-2
1.21667	-2
1.22500	-3
1.23333	-4
1.24167	-6
1.25000	-7
1.25833	-8
1.26667	-9
1.27500	-10
1.28333	-11
1.29167	-12
1.30000	-13
1.30833	-13
1.31667	-14
1.32500	-14
1.33333	-14
1.34167	-15
1.35000	-16
1.35833	-17
1.36667	-18
1.37500	-18
1.38333	-18
1.39167	-17
1.40000	-16
1.40833	-15
1.41667	-14
1.42500	-13
1.43333	-12
1.44167	-11
1.45000	-11
1.45833	-10
1.46667	-11
1.47500	-11
1.48333	-12
1.49167	-13
1.50000	-15
1.50833	-16
1.51667	-18
1.52500	-19
1.53333	-19
1.54167	-19
1.55000	-18
1.55833	-18
1.56667	-17
1.57500	-17
1.58333	-18
1.59167	-18
1.60000	-19
1.60833	-20
1.61667	-21
1.62500	-22
1.63333	-22
1.64167	-22
1.65000	-20
1.65833	-19
1.66667	-17
1.67500	-16
1.68333	-16
