[Header]
Application Name	LabSolutions
Version	5.98
Data File Name	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD1.lcd
Output Date	2022/07/25
Output Time	17:20:37

[File Information]
Type	Data File
Generated	2022/07/20 22:42:38
Generated by	System Administrator
Modified	2022/07/25 11:06:39
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	2022/07/20 22:43:01
Sample Type	1:Standard
Level	1
Sample Name	STD1
Sample ID	STD1
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	47
Injection Volume	20

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Hayashi\20220719\STD1.lcd
Method File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719-r70 sugar 40 min std  buoh 80d 0.6(N8233).lcm
Batch File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	N8233 UV+RID
Instrument #	6
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	åüèoäÌA	åüèoäÌB
# of Channels	2	1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	4801
Start Time(min)	0.000
End Time(min)	40.000
Intensity Units	mV
Intensity Multiplier	0.001
Wavelength(nm)	210nm
R.Time (min)	Intensity
0.00000	-13
0.00833	-13
0.01667	-0
0.02500	-1
0.03333	-2
0.04167	-5
0.05000	-8
0.05833	-11
0.06667	-14
0.07500	-15
0.08333	-15
0.09167	-14
0.10000	-13
0.10833	-12
0.11667	-10
0.12500	-8
0.13333	-7
0.14167	-4
0.15000	-2
0.15833	0
0.16667	2
0.17500	4
0.18333	5
0.19167	6
0.20000	6
0.20833	6
0.21667	6
0.22500	6
0.23333	6
0.24167	6
0.25000	6
0.25833	6
0.26667	5
0.27500	5
0.28333	5
0.29167	5
0.30000	5
0.30833	5
0.31667	5
0.32500	4
0.33333	4
0.34167	3
0.35000	3
0.35833	3
0.36667	3
0.37500	3
0.38333	3
0.39167	4
0.40000	4
0.40833	3
0.41667	2
0.42500	1
0.43333	-0
0.44167	-1
0.45000	-1
0.45833	-1
0.46667	-0
0.47500	1
0.48333	1
0.49167	2
0.50000	3
0.50833	3
0.51667	3
0.52500	1
0.53333	-1
0.54167	-3
0.55000	-6
0.55833	-8
0.56667	-9
0.57500	-9
0.58333	-8
0.59167	-7
0.60000	-5
0.60833	-3
0.61667	-1
0.62500	2
0.63333	4
0.64167	4
0.65000	2
0.65833	-2
0.66667	-6
0.67500	-11
0.68333	-14
0.69167	-16
0.70000	-17
0.70833	-19
0.71667	-20
0.72500	-22
0.73333	-23
0.74167	-24
0.75000	-24
0.75833	-24
0.76667	-23
0.77500	-23
0.78333	-24
0.79167	-26
0.80000	-27
0.80833	-28
0.81667	-28
0.82500	-28
0.83333	-26
0.84167	-24
0.85000	-22
0.85833	-19
0.86667	-16
0.87500	-13
0.88333	-11
0.89167	-9
0.90000	-7
0.90833	-5
0.91667	-4
0.92500	-3
0.93333	-2
0.94167	-2
0.95000	-1
0.95833	-1
0.96667	-2
0.97500	-3
0.98333	-4
0.99167	-5
1.00000	-6
1.00833	-7
1.01667	-9
1.02500	-11
1.03333	-13
1.04167	-16
1.05000	-18
1.05833	-20
1.06667	-23
1.07500	-25
1.08333	-26
1.09167	-27
1.10000	-26
1.10833	-25
1.11667	-22
1.12500	-19
1.13333	-15
1.14167	-12
1.15000	-10
1.15833	-8
1.16667	-6
1.17500	-4
1.18333	-3
1.19167	-2
1.20000	-1
1.20833	-2
1.21667	-4
1.22500	-6
1.23333	-8
1.24167	-11
1.25000	-13
1.25833	-15
1.26667	-16
1.27500	-16
1.28333	-17
1.29167	-17
1.30000	-18
1.30833	-19
1.31667	-21
1.32500	-23
1.33333	-24
1.34167	-25
1.35000	-27
1.35833	-28
1.36667	-29
1.37500	-29
1.38333	-29
1.39167	-28
1.40000	-27
1.40833	-26
1.41667	-25
1.42500	-24
1.43333	-24
1.44167	-23
1.45000	-23
1.45833	-23
1.46667	-23
1.47500	-23
1.48333	-23
1.49167	-23
1.50000	-24
1.50833	-25
1.51667	-26
1.52500	-28
1.53333	-29
1.54167	-30
1.55000	-31
1.55833	-30
1.56667	-29
1.57500	-27
1.58333	-24
1.59167	-22
1.60000	-19
1.60833	-17
1.61667	-16
1.62500	-16
1.63333	-17
1.64167	-18
1.65000	-19
1.65833	-19
1.66667	-19
1.67500	-18
1.68333	-18
1.69167	-17
1.70000	-17
1.70833	-16
1.71667	-15
1.72500	-14
1.73333	-13
1.74167	-12
1.75000	-10
1.75833	-7
1.76667	-4
1.77500	-1
1.78333	1
1.79167	2
1.80000	2
1.80833	0
1.81667	-2
1.82500	-5
1.83333	-8
1.84167	-11
1.85000	-12
1.85833	-14
1.86667	-15
1.87500	-15
1.88333	-15
1.89167	-15
1.90000	-13
1.90833	-11
1.91667	-8
1.92500	-6
1.93333	-4
1.94167	-2
1.95000	-1
1.95833	1
1.96667	1
1.97500	0
1.98333	-1
1.99167	-3
2.00000	-5
2.00833	-6
2.01667	-7
2.02500	-7
2.03333	-7
2.04167	-6
2.05000	-5
2.05833	-4
2.06667	-4
2.07500	-3
2.08333	-5
2.09167	-7
2.10000	-11
2.10833	-16
2.11667	-21
2.12500	-26
2.13333	-30
2.14167	-33
2.15000	-37
2.15833	-40
2.16667	-42
2.17500	-43
2.18333	-44
2.19167	-44
2.20000	-41
2.20833	-38
2.21667	-34
2.22500	-30
2.23333	-28
2.24167	-27
2.25000	-28
2.25833	-29
2.26667	-31
2.27500	-32
2.28333	-34
2.29167	-35
2.30000	-36
2.30833	-36
2.31667	-36
2.32500	-36
2.33333	-36
2.34167	-37
2.35000	-38
2.35833	-39
2.36667	-40
2.37500	-40
2.38333	-41
2.39167	-41
2.40000	-42
2.40833	-43
2.41667	-43
2.42500	-43
2.43333	-42
2.44167	-42
2.45000	-41
2.45833	-41
2.46667	-40
2.47500	-40
2.48333	-38
2.49167	-37
2.50000	-35
2.50833	-34
2.51667	-33
2.52500	-32
2.53333	-32
2.54167	-32
2.55000	-32
2.55833	-33
2.56667	-34
2.57500	-35
2.58333	-35
2.59167	-34
2.60000	-32
2.60833	-30
2.61667	-28
2.62500	-26
2.63333	-24
2.64167	-24
2.65000	-24
2.65833	-25
2.66667	-25
2.67500	-25
2.68333	-24
2.69167	-22
2.70000	-19
2.70833	-17
2.71667	-15
2.72500	-14
2.73333	-14
2.74167	-14
2.75000	-14
2.75833	-14
2.76667	-15
2.77500	-16
2.78333	-19
2.79167	-23
2.80000	-26
2.80833	-29
2.81667	-31
2.82500	-31
2.83333	-31
2.84167	-31
2.85000	-29
2.85833	-27
2.86667	-25
2.87500	-24
2.88333	-23
2.89167	-24
2.90000	-26
2.90833	-28
2.91667	-29
2.92500	-30
2.93333	-31
2.94167	-31
2.95000	-31
2.95833	-30
2.96667	-28
2.97500	-26
2.98333	-24
2.99167	-24
3.00000	-25
3.00833	-26
3.01667	-28
3.02500	-30
3.03333	-31
3.04167	-31
3.05000	-30
3.05833	-28
3.06667	-25
3.07500	-22
3.08333	-19
3.09167	-16
3.10000	-13
3.10833	-10
3.11667	-9
3.12500	-9
3.13333	-9
3.14167	-10
3.15000	-11
3.15833	-13
3.16667	-15
3.17500	-17
3.18333	-20
3.19167	-23
3.20000	-26
3.20833	-28
3.21667	-30
3.22500	-31
3.23333	-32
3.24167	-32
3.25000	-33
3.25833	-32
3.26667	-32
3.27500	-31
3.28333	-31
3.29167	-31
3.30000	-31
3.30833	-30
3.31667	-28
3.32500	-26
3.33333	-24
3.34167	-22
3.35000	-22
3.35833	-22
3.36667	-24
3.37500	-26
3.38333	-29
3.39167	-32
3.40000	-35
3.40833	-38
3.41667	-40
3.42500	-43
3.43333	-44
3.44167	-45
3.45000	-46
3.45833	-47
3.46667	-48
3.47500	-49
3.48333	-50
3.49167	-50
3.50000	-49
3.50833	-49
3.51667	-48
3.52500	-46
3.53333	-45
3.54167	-43
3.55000	-42
3.55833	-40
3.56667	-39
3.57500	-37
3.58333	-35
3.59167	-32
3.60000	-28
3.60833	-25
3.61667	-22
3.62500	-20
3.63333	-19
3.64167	-19
3.65000	-19
3.65833	-19
3.66667	-19
3.67500	-18
3.68333	-16
3.69167	-15
3.70000	-15
3.70833	-16
3.71667	-18
3.72500	-20
3.73333	-22
3.74167	-23
3.75000	-25
3.75833	-26
3.76667	-27
3.77500	-27
3.78333	-27
3.79167	-25
3.80000	-22
3.80833	-18
3.81667	-13
3.82500	-9
3.83333	-7
3.84167	-5
3.85000	-4
3.85833	-3
3.86667	-3
3.87500	-2
3.88333	-1
3.89167	1
3.90000	2
3.90833	3
3.91667	4
3.92500	3
3.93333	2
3.94167	1
3.95000	-1
3.95833	-3
3.96667	-5
3.97500	-5
3.98333	-6
3.99167	-4
4.00000	-2
4.00833	3
4.01667	8
4.02500	14
4.03333	20
4.04167	24
4.05000	27
4.05833	28
4.06667	29
4.07500	29
4.08333	29
4.09167	29
4.10000	30
4.10833	31
