[Header]
Application Name	LabSolutions
Version	5.98
Data File Name	C:\LabSolutions\Data\Project1\Hayashi\20220719\malhex3.lcd
Output Date	2022/07/25
Output Time	17:20:38

[File Information]
Type	Data File
Generated	2022/07/21 9:30:59
Generated by	System Administrator
Modified	2022/07/21 10:11:26
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	2022/07/21 9:31:23
Sample Type	0:Unknown
Level	0
Sample Name	malhex3
Sample ID	malhex3
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	55
Injection Volume	20

[Original Files]
Data File	C:\LabSolutions\Data\Project1\Hayashi\20220719\malhex3.lcd
Method File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719-r70 sugar 40 min std  buoh 80d 0.6(N8233).lcm
Batch File	C:\LabSolutions\Data\Project1\Hayashi\20220719\20220719.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	N8233 UV+RID
Instrument #	6
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	åüèoäÌA	åüèoäÌB
# of Channels	2	1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	4801
Start Time(min)	0.000
End Time(min)	40.000
Intensity Units	mV
Intensity Multiplier	0.001
Wavelength(nm)	210nm
R.Time (min)	Intensity
0.00000	28751
0.00833	28751
0.01667	319
0.02500	881
0.03333	1432
0.04167	1972
0.05000	2502
0.05833	3019
0.06667	3525
0.07500	4019
0.08333	4501
0.09167	4973
0.10000	5431
0.10833	5879
0.11667	6314
0.12500	6738
0.13333	7151
0.14167	7552
0.15000	7942
0.15833	8319
0.16667	8684
0.17500	9038
0.18333	9378
0.19167	9708
0.20000	10025
0.20833	10332
0.21667	10627
0.22500	10912
0.23333	11187
0.24167	11450
0.25000	11701
0.25833	11940
0.26667	12167
0.27500	12381
0.28333	12584
0.29167	12776
0.30000	12956
0.30833	13125
0.31667	13283
0.32500	13429
0.33333	13564
0.34167	13688
0.35000	13802
0.35833	13905
0.36667	13999
0.37500	14083
0.38333	14159
0.39167	14226
0.40000	14285
0.40833	14334
0.41667	14375
0.42500	14407
0.43333	14430
0.44167	14444
0.45000	14449
0.45833	14446
0.46667	14436
0.47500	14418
0.48333	14393
0.49167	14361
0.50000	14322
0.50833	14278
0.51667	14227
0.52500	14169
0.53333	14105
0.54167	14034
0.55000	13957
0.55833	13875
0.56667	13788
0.57500	13696
0.58333	13599
0.59167	13496
0.60000	13387
0.60833	13271
0.61667	13149
0.62500	13022
0.63333	12889
0.64167	12752
0.65000	12609
0.65833	12463
0.66667	12314
0.67500	12161
0.68333	12004
0.69167	11844
0.70000	11681
0.70833	11514
0.71667	11343
0.72500	11169
0.73333	10992
0.74167	10812
0.75000	10629
0.75833	10444
0.76667	10256
0.77500	10067
0.78333	9875
0.79167	9681
0.80000	9486
0.80833	9287
0.81667	9087
0.82500	8884
0.83333	8678
0.84167	8471
0.85000	8263
0.85833	8054
0.86667	7844
0.87500	7634
0.88333	7421
0.89167	7206
0.90000	6989
0.90833	6769
0.91667	6547
0.92500	6324
0.93333	6101
0.94167	5877
0.95000	5652
0.95833	5427
0.96667	5200
0.97500	4971
0.98333	4741
0.99167	4509
1.00000	4275
1.00833	4040
1.01667	3805
1.02500	3567
1.03333	3329
1.04167	3090
1.05000	2849
1.05833	2607
1.06667	2365
1.07500	2122
1.08333	1880
1.09167	1638
1.10000	1396
1.10833	1153
1.11667	910
1.12500	667
1.13333	422
1.14167	177
1.15000	-70
1.15833	-317
1.16667	-566
1.17500	-815
1.18333	-1063
1.19167	-1312
1.20000	-1560
1.20833	-1807
1.21667	-2053
1.22500	-2299
1.23333	-2544
1.24167	-2790
1.25000	-3036
1.25833	-3282
1.26667	-3529
1.27500	-3777
1.28333	-4025
1.29167	-4274
1.30000	-4522
1.30833	-4771
1.31667	-5020
1.32500	-5267
1.33333	-5513
1.34167	-5759
1.35000	-6004
1.35833	-6249
1.36667	-6494
1.37500	-6739
1.38333	-6983
1.39167	-7227
1.40000	-7470
1.40833	-7715
1.41667	-7959
1.42500	-8202
1.43333	-8445
1.44167	-8686
1.45000	-8927
1.45833	-9166
1.46667	-9406
1.47500	-9645
1.48333	-9883
1.49167	-10122
1.50000	-10359
1.50833	-10595
1.51667	-10829
1.52500	-11063
1.53333	-11295
1.54167	-11528
1.55000	-11760
1.55833	-11992
1.56667	-12223
1.57500	-12452
1.58333	-12679
1.59167	-12905
1.60000	-13129
1.60833	-13352
1.61667	-13578
1.62500	-13805
1.63333	-14031
1.64167	-14256
1.65000	-14479
1.65833	-14699
1.66667	-14915
1.67500	-15130
1.68333	-15344
1.69167	-15558
1.70000	-15771
1.70833	-15986
1.71667	-16200
1.72500	-16413
1.73333	-16627
1.74167	-16839
1.75000	-17052
1.75833	-17264
1.76667	-17476
1.77500	-17687
1.78333	-17897
1.79167	-18107
1.80000	-18315
1.80833	-18522
1.81667	-18728
1.82500	-18933
1.83333	-19136
1.84167	-19339
1.85000	-19540
1.85833	-19741
1.86667	-19942
1.87500	-20143
1.88333	-20345
1.89167	-20548
1.90000	-20751
1.90833	-20955
1.91667	-21158
1.92500	-21361
1.93333	-21564
1.94167	-21766
1.95000	-21968
1.95833	-22168
1.96667	-22367
1.97500	-22565
1.98333	-22762
1.99167	-22960
2.00000	-23156
2.00833	-23353
2.01667	-23549
2.02500	-23744
2.03333	-23938
2.04167	-24133
2.05000	-24328
2.05833	-24523
2.06667	-24719
2.07500	-24914
2.08333	-25108
2.09167	-25300
2.10000	-25491
2.10833	-25682
2.11667	-25872
2.12500	-26061
2.13333	-26250
2.14167	-26440
2.15000	-26631
2.15833	-26823
2.16667	-27017
2.17500	-27211
2.18333	-27405
2.19167	-27598
2.20000	-27789
2.20833	-27981
2.21667	-28172
2.22500	-28363
2.23333	-28556
2.24167	-28748
2.25000	-28941
2.25833	-29134
2.26667	-29326
2.27500	-29517
2.28333	-29707
2.29167	-29895
2.30000	-30082
2.30833	-30269
2.31667	-30454
2.32500	-30641
2.33333	-30827
2.34167	-31013
2.35000	-31199
2.35833	-31384
2.36667	-31568
2.37500	-31752
2.38333	-31936
2.39167	-32121
2.40000	-32306
2.40833	-32493
2.41667	-32680
2.42500	-32868
2.43333	-33055
2.44167	-33241
2.45000	-33426
2.45833	-33609
2.46667	-33793
2.47500	-33976
2.48333	-34158
2.49167	-34341
2.50000	-34522
2.50833	-34703
2.51667	-34882
2.52500	-35062
2.53333	-35241
2.54167	-35419
2.55000	-35599
2.55833	-35777
2.56667	-35956
2.57500	-36134
2.58333	-36312
2.59167	-36489
2.60000	-36665
2.60833	-36840
2.61667	-37015
2.62500	-37189
2.63333	-37364
2.64167	-37538
2.65000	-37713
2.65833	-37886
2.66667	-38060
2.67500	-38232
2.68333	-38404
2.69167	-38575
2.70000	-38745
2.70833	-38915
2.71667	-39084
2.72500	-39253
2.73333	-39422
2.74167	-39590
2.75000	-39757
2.75833	-39923
2.76667	-40088
2.77500	-40253
2.78333	-40417
2.79167	-40582
2.80000	-40745
2.80833	-40909
2.81667	-41072
2.82500	-41234
2.83333	-41395
2.84167	-41556
2.85000	-41717
2.85833	-41877
2.86667	-42037
2.87500	-42196
2.88333	-42355
2.89167	-42512
2.90000	-42669
2.90833	-42827
2.91667	-42983
2.92500	-43140
2.93333	-43296
2.94167	-43451
2.95000	-43606
2.95833	-43760
2.96667	-43913
2.97500	-44064
2.98333	-44215
2.99167	-44364
3.00000	-44513
3.00833	-44662
3.01667	-44812
3.02500	-44962
3.03333	-45112
3.04167	-45260
3.05000	-45407
3.05833	-45552
3.06667	-45696
3.07500	-45838
3.08333	-45980
3.09167	-46122
3.10000	-46263
3.10833	-46403
3.11667	-46542
3.12500	-46681
3.13333	-46820
3.14167	-46957
3.15000	-47093
3.15833	-47228
3.16667	-47363
3.17500	-47498
3.18333	-47633
3.19167	-47768
3.20000	-47904
3.20833	-48039
3.21667	-48173
3.22500	-48306
3.23333	-48438
3.24167	-48567
3.25000	-48697
3.25833	-48825
3.26667	-48954
3.27500	-49083
3.28333	-49212
3.29167	-49341
3.30000	-49470
3.30833	-49598
3.31667	-49725
3.32500	-49851
3.33333	-49977
3.34167	-50101
3.35000	-50225
3.35833	-50348
3.36667	-50471
3.37500	-50592
3.38333	-50711
3.39167	-50830
3.40000	-50947
3.40833	-51063
3.41667	-51178
3.42500	-51293
3.43333	-51409
3.44167	-51524
3.45000	-51640
3.45833	-51756
3.46667	-51872
3.47500	-51986
3.48333	-52100
3.49167	-52214
3.50000	-52326
3.50833	-52438
3.51667	-52549
3.52500	-52659
3.53333	-52769
3.54167	-52878
3.55000	-52987
3.55833	-53096
3.56667	-53205
3.57500	-53314
3.58333	-53422
3.59167	-53529
3.60000	-53634
3.60833	-53737
3.61667	-53839
3.62500	-53939
3.63333	-54040
3.64167	-54139
3.65000	-54238
3.65833	-54337
3.66667	-54435
3.67500	-54534
3.68333	-54632
3.69167	-54730
3.70000	-54827
3.70833	-54925
3.71667	-55022
3.72500	-55118
3.73333	-55215
3.74167	-55311
3.75000	-55408
3.75833	-55504
3.76667	-55600
3.77500	-55694
3.78333	-55787
3.79167	-55878
3.80000	-55968
3.80833	-56058
3.81667	-56147
3.82500	-56235
3.83333	-56323
3.84167	-56408
3.85000	-56493
3.85833	-56575
3.86667	-56656
3.87500	-56737
3.88333	-56817
3.89167	-56899
3.90000	-56981
3.90833	-57064
3.91667	-57148
3.92500	-57232
3.93333	-57315
3.94167	-57397
3.95000	-57480
3.95833	-57561
3.96667	-57641
3.97500	-57721
3.98333	-57798
3.99167	-57875
4.00000	-57950
4.00833	-58025
4.01667	-58099
4.02500	-58173
4.03333	-58246
4.04167	-58318
4.05000	-58389
4.05833	-58460
4.06667	-58530
4.07500	-58600
4.08333	-58671
4.09167	-58741
4.10000	-58810
4.10833	-58877
4.11667	-58942
4.12500	-59005
4.13333	-59065
4.14167	-59122
4.15000	-59177
4.15833	-59230
4.16667	-59280
4.17500	-59329
4.18333	-59377
4.19167	-59423
4.20000	-59468
4.20833	-59509
4.21667	-59548
4.22500	-59582
4.23333	-59613
4.24167	-59640
4.25000	-59663
4.25833	-59682
4.26667	-59697
4.27500	-59709
4.28333	-59719
4.29167	-59726
4.30000	-59731
4.30833	-59736
4.31667	-59739
4.32500	-59743
4.33333	-59746
4.34167	-59749
4.35000	-59752
4.35833	-59754
4.36667	-59756
4.37500	-59757
4.38333	-59757
4.39167	-59758
4.40000	-59761
4.40833	-59766
4.41667	-59775
4.42500	-59786
4.43333	-59801
4.44167	-59819
4.45000	-59841
4.45833	-59866
4.46667	-59895
4.47500	-59928
4.48333	-59963
4.49167	-60002
4.50000	-60042
4.50833	-60085
4.51667	-60128
4.52500	-60173
4.53333	-60219
4.54167	-60265
4.55000	-60312
4.55833	-60359
4.56667	-60407
4.57500	-60453
4.58333	-60499
4.59167	-60544
4.60000	-60588
4.60833	-60630
4.61667	-60672
4.62500	-60713
4.63333	-60753
4.64167	-60793
4.65000	-60831
4.65833	-60867
4.66667	-60901
4.67500	-60933
4.68333	-60961
4.69167	-60986
4.70000	-61007
4.70833	-61026
4.71667	-61041
4.72500	-61054
4.73333	-61065
4.74167	-61073
4.75000	-61078
4.75833	-61080
4.76667	-61079
4.77500	-61075
4.78333	-61068
4.79167	-61059
4.80000	-61048
4.80833	-61033
4.81667	-61015
4.82500	-60994
4.83333	-60971
4.84167	-60945
4.85000	-60916
4.85833	-60884
4.86667	-60849
4.87500	-60810
4.88333	-60768
4.89167	-60724
4.90000	-60677
4.90833	-60627
4.91667	-60575
4.92500	-60520
4.93333	-60463
4.94167	-60403
4.95000	-60342
4.95833	-60281
4.96667	-60220
4.97500	-60160
4.98333	-60104
4.99167	-60050
5.00000	-59999
5.00833	-59949
5.01667	-59902
5.02500	-59857
5.03333	-59814
5.04167	-59774
5.05000	-59737
5.05833	-59702
5.06667	-59670
5.07500	-59641
5.08333	-59616
5.09167	-59596
5.10000	-59581
5.10833	-59572
5.11667	-59567
5.12500	-59567
5.13333	-59570
5.14167	-59575
5.15000	-59583
5.15833	-59593
5.16667	-59605
5.17500	-59618
5.18333	-59632
5.19167	-59648
5.20000	-59665
5.20833	-59683
5.21667	-59703
5.22500	-59725
5.23333	-59748
5.24167	-59773
5.25000	-59799
5.25833	-59826
5.26667	-59854
5.27500	-59883
5.28333	-59911
5.29167	-59939
5.30000	-59967
5.30833	-59994
5.31667	-60020
5.32500	-60045
5.33333	-60068
5.34167	-60090
5.35000	-60111
5.35833	-60131
5.36667	-60150
5.37500	-60168
5.38333	-60185
5.39167	-60202
5.40000	-60219
5.40833	-60236
5.41667	-60252
5.42500	-60266
5.43333	-60279
5.44167	-60290
5.45000	-60301
5.45833	-60312
5.46667	-60325
5.47500	-60338
5.48333	-60351
5.49167	-60365
5.50000	-60378
5.50833	-60392
5.51667	-60405
5.52500	-60419
5.53333	-60434
5.54167	-60449
5.55000	-60463
5.55833	-60475
5.56667	-60484
5.57500	-60491
5.58333	-60494
5.59167	-60495
5.60000	-60493
5.60833	-60490
5.61667	-60484
5.62500	-60476
5.63333	-60466
5.64167	-60454
5.65000	-60438
5.65833	-60419
5.66667	-60396
5.67500	-60369
5.68333	-60337
5.69167	-60299
5.70000	-60257
5.70833	-60208
5.71667	-60153
5.72500	-60092
5.73333	-60025
5.74167	-59951
5.75000	-59868
5.75833	-59778
